county_fips,county_name,state_fips,state_name,state_abrev
48081,Coke,48,Texas,TX
48273,Kleberg,48,Texas,TX
48203,Harrison,48,Texas,TX
48223,Hopkins,48,Texas,TX
48033,Borden,48,Texas,TX
48419,Shelby,48,Texas,TX
48067,Cass,48,Texas,TX
48025,Bee,48,Texas,TX
51167,Russell,51,Virginia,VA
51187,Warren,51,Virginia,VA
51165,Rockingham,51,Virginia,VA
51195,Wise,51,Virginia,VA
51083,Halifax,51,Virginia,VA
51053,Dinwiddie,51,Virginia,VA
51117,Mecklenburg,51,Virginia,VA
51031,Campbell,51,Virginia,VA
51007,Amelia,51,Virginia,VA
51036,Charles City,51,Virginia,VA
51017,Bath,51,Virginia,VA
51127,New Kent,51,Virginia,VA
51181,Surry,51,Virginia,VA
51790,Staunton,51,Virginia,VA
31185,York,31,Nebraska,NE
12075,Levy,12,Florida,FL
31183,Wheeler,31,Nebraska,NE
5119,Pulaski,5,Arkansas,AR
5075,Lawrence,5,Arkansas,AR
5093,Mississippi,5,Arkansas,AR
5001,Arkansas,5,Arkansas,AR
5081,Little River,5,Arkansas,AR
5121,Randolph,5,Arkansas,AR
5067,Jackson,5,Arkansas,AR
5103,Ouachita,5,Arkansas,AR
5107,Phillips,5,Arkansas,AR
5003,Ashley,5,Arkansas,AR
22055,Lafayette,22,Louisiana,LA
22069,Natchitoches,22,Louisiana,LA
22097,St. Landry,22,Louisiana,LA
22099,St. Martin,22,Louisiana,LA
22105,Tangipahoa,22,Louisiana,LA
22057,Lafourche,22,Louisiana,LA
22085,Sabine,22,Louisiana,LA
22015,Bossier,22,Louisiana,LA
22111,Union,22,Louisiana,LA
22039,Evangeline,22,Louisiana,LA
22063,Livingston,22,Louisiana,LA
22051,Jefferson,22,Louisiana,LA
22077,Pointe Coupee,22,Louisiana,LA
22065,Madison,22,Louisiana,LA
22029,Concordia,22,Louisiana,LA
22075,Plaquemines,22,Louisiana,LA
33007,Coos,33,New Hampshire,NH
34013,Essex,34,New Jersey,NJ
34019,Hunterdon,34,New Jersey,NJ
29019,Boone,29,Missouri,MO
29207,Stoddard,29,Missouri,MO
29029,Camden,29,Missouri,MO
30029,Flathead,30,Montana,MT
29099,Jefferson,29,Missouri,MO
29033,Carroll,29,Missouri,MO
29157,Perry,29,Missouri,MO
29013,Bates,29,Missouri,MO
30053,Lincoln,30,Montana,MT
30045,Judith Basin,30,Montana,MT
30093,Silver Bow,30,Montana,MT
29195,Saline,29,Missouri,MO
29041,Chariton,29,Missouri,MO
30075,Powder River,30,Montana,MT
30087,Rosebud,30,Montana,MT
29039,Cedar,29,Missouri,MO
29197,Schuyler,29,Missouri,MO
30061,Mineral,30,Montana,MT
30031,Gallatin,30,Montana,MT
13121,Fulton,13,Georgia,GA
13029,Bryan,13,Georgia,GA
37039,Cherokee,37,North Carolina,NC
13135,Gwinnett,13,Georgia,GA
37159,Rowan,37,North Carolina,NC
37171,Surry,37,North Carolina,NC
17161,Rock Island,17,Illinois,IL
13127,Glynn,13,Georgia,GA
6001,Alameda,6,California,CA
6061,Placer,6,California,CA
6037,Los Angeles,6,California,CA
6095,Solano,6,California,CA
6093,Siskiyou,6,California,CA
6111,Ventura,6,California,CA
6115,Yuba,6,California,CA
6019,Fresno,6,California,CA
6107,Tulare,6,California,CA
6007,Butte,6,California,CA
6083,Santa Barbara,6,California,CA
6055,Napa,6,California,CA
6103,Tehama,6,California,CA
6053,Monterey,6,California,CA
12086,Miami-Dade,12,Florida,FL
12073,Leon,12,Florida,FL
12057,Hillsborough,12,Florida,FL
12083,Marion,12,Florida,FL
12113,Santa Rosa,12,Florida,FL
12123,Taylor,12,Florida,FL
12107,Putnam,12,Florida,FL
12047,Hamilton,12,Florida,FL
42003,Allegheny,42,Pennsylvania,PA
42071,Lancaster,42,Pennsylvania,PA
42101,Philadelphia,42,Pennsylvania,PA
42029,Chester,42,Pennsylvania,PA
45045,Greenville,45,South Carolina,SC
45013,Beaufort,45,South Carolina,SC
45031,Darlington,45,South Carolina,SC
42045,Delaware,42,Pennsylvania,PA
45047,Greenwood,45,South Carolina,SC
45087,Union,45,South Carolina,SC
45021,Cherokee,45,South Carolina,SC
42017,Bucks,42,Pennsylvania,PA
42095,Northampton,42,Pennsylvania,PA
42127,Wayne,42,Pennsylvania,PA
45065,McCormick,45,South Carolina,SC
39035,Cuyahoga,39,Ohio,OH
42041,Cumberland,42,Pennsylvania,PA
40145,Wagoner,40,Oklahoma,OK
40097,Mayes,40,Oklahoma,OK
40087,McClain,40,Oklahoma,OK
48339,Montgomery,48,Texas,TX
48029,Bexar,48,Texas,TX
48479,Webb,48,Texas,TX
48061,Cameron,48,Texas,TX
48241,Jasper,48,Texas,TX
48361,Orange,48,Texas,TX
48233,Hutchinson,48,Texas,TX
48459,Upshur,48,Texas,TX
48187,Guadalupe,48,Texas,TX
48277,Lamar,48,Texas,TX
48105,Crockett,48,Texas,TX
48355,Nueces,48,Texas,TX
48153,Floyd,48,Texas,TX
53035,Kitsap,53,Washington,WA
53021,Franklin,53,Washington,WA
53011,Clark,53,Washington,WA
54039,Kanawha,54,West Virginia,WV
54007,Braxton,54,West Virginia,WV
55121,Trempealeau,55,Wisconsin,WI
53027,Grays Harbor,53,Washington,WA
53005,Benton,53,Washington,WA
54033,Harrison,54,West Virginia,WV
54085,Ritchie,54,West Virginia,WV
54103,Wetzel,54,West Virginia,WV
54099,Wayne,54,West Virginia,WV
54011,Cabell,54,West Virginia,WV
55111,Sauk,55,Wisconsin,WI
55043,Grant,55,Wisconsin,WI
53015,Cowlitz,53,Washington,WA
53075,Whitman,53,Washington,WA
54027,Hampshire,54,West Virginia,WV
55075,Marinette,55,Wisconsin,WI
54043,Lincoln,54,West Virginia,WV
13271,Telfair,13,Georgia,GA
13279,Toombs,13,Georgia,GA
15007,Kauai,15,Hawaii,HI
16069,Nez Perce,16,Idaho,ID
13301,Warren,13,Georgia,GA
13007,Baker,13,Georgia,GA
13143,Haralson,13,Georgia,GA
35021,Harding,35,New Mexico,NM
19041,Clay,19,Iowa,IA
1005,Barbour,1,Alabama,AL
56025,Natrona,56,Wyoming,WY
56045,Weston,56,Wyoming,WY
40013,Bryan,40,Oklahoma,OK
20099,Labette,20,Kansas,KS
38099,Walsh,38,North Dakota,ND
38031,Foster,38,North Dakota,ND
38097,Traill,38,North Dakota,ND
38005,Benson,38,North Dakota,ND
21187,Owen,21,Kentucky,KY
21193,Perry,21,Kentucky,KY
21049,Clark,21,Kentucky,KY
16059,Lemhi,16,Idaho,ID
16041,Franklin,16,Idaho,ID
16037,Custer,16,Idaho,ID
13221,Oglethorpe,13,Georgia,GA
47159,Smith,47,Tennessee,TN
46095,Mellette,46,South Dakota,SD
37107,Lenoir,37,North Carolina,NC
37017,Bladen,37,North Carolina,NC
37193,Wilkes,37,North Carolina,NC
37111,McDowell,37,North Carolina,NC
37089,Henderson,37,North Carolina,NC
13137,Habersham,13,Georgia,GA
37167,Stanly,37,North Carolina,NC
13289,Twiggs,13,Georgia,GA
17007,Boone,17,Illinois,IL
37175,Transylvania,37,North Carolina,NC
37105,Lee,37,North Carolina,NC
37165,Scotland,37,North Carolina,NC
13105,Elbert,13,Georgia,GA
37139,Pasquotank,37,North Carolina,NC
13051,Chatham,13,Georgia,GA
13073,Columbia,13,Georgia,GA
13189,McDuffie,13,Georgia,GA
37131,Northampton,37,North Carolina,NC
37115,Madison,37,North Carolina,NC
48405,San Augustine,48,Texas,TX
48313,Madison,48,Texas,TX
48107,Crosby,48,Texas,TX
48015,Austin,48,Texas,TX
8077,Mesa,8,Colorado,CO
26085,Lake,26,Michigan,MI
26041,Delta,26,Michigan,MI
26089,Leelanau,26,Michigan,MI
26071,Iron,26,Michigan,MI
26141,Presque Isle,26,Michigan,MI
26103,Marquette,26,Michigan,MI
6003,Alpine,6,California,CA
6051,Mono,6,California,CA
6025,Imperial,6,California,CA
6027,Inyo,6,California,CA
6063,Plumas,6,California,CA
8107,Routt,8,Colorado,CO
